SubjectN,SubjectID,Age,Edu,Gender,Income,SpeededIP,StrategicIP,Percep,Caution,Discount,senseseek,mindful,emot_cont,impuls,goal_dir,rew_sens,risk_per,eat_cont,ethic_risk,soc_risk,fin_risk,agree,Conservatism,SocialConservatism,EconConservatism,Nationalism,Patriotism,IngroupAttitude,SDO,SJ,Authoritarianism,Dogmatism,IH1,IH2,IH3,IH4,IH_Total,ReligiousAttendance,ReligiousPrayer,ReligionImportance,SECS_Abortion_reversed,SECS_WelfareBen_reversed,SECS_LimitedGovt_Warmth,SECS_MilitaryNationalSecurity_Warmth,SECS_Religion_Warmth,SECS_GunOwnership_Warmth,SECS_TraditionalMarriage_Warmth,SECS_TraditionalValues_Warmth,SECS_FiscalResponsibility_Warmth,SECS_Business_Warmth,SECS_FamilyUnit_Warmth,SECS_Patriotism_Warmth,SECS_ParisAgreement_reversed,SECS_SameSexMarriage_reversed,SECS_Democracy_reversed,SECS_MAGA_Warmth,SECS_RestrictingImmigration_Warmth
88,s265,40,6,0,4,-2.112,-0.180,-0.848,-0.653,0.253,1.061,-0.836,0.484,0.795,-0.565,1.875,-0.244,0.578,0.531,0.566,2.043,-1.824,104,60,44,26,31,11,27,22,8,17,22,25,29,20,96,1,1,1,6,8,11,11,1,4,10,10,11,10,11,11,2,4,2,11,10
89,s517,34,5,0,3,-0.622,-2.168,1.411,-0.673,0.893,-0.389,1.518,1.197,-1.355,0.094,2.331,0.801,1.860,-0.359,-0.176,-0.615,-1.830,52,27,25,9,17,5,14,14,3,14,25,21,30,26,102,1,1,1,1,1,11,1,1,1,11,1,11,1,11,1,1,1,1,1,1
90,s184,50,5,1,4,0.476,0.042,-1.874,1.223,-0.839,0.743,-0.324,0.188,0.598,0.528,0.608,-0.434,0.093,0.006,1.368,0.513,0.810,95,54,41,19,29,11,13,25,4,25,19,23,29,24,95,2,2,2,4,7,8,10,7,8,11,7,10,8,8,7,2,1,2,2,5
91,s419,28,5,1,3,-0.105,-1.081,-0.888,-0.574,-0.347,0.568,0.229,-0.549,-1.208,1.174,0.094,-0.978,1.249,-0.127,0.665,-0.397,-1.179,67,36,31,31,17,14,16,29,5,24,13,20,25,19,77,1,1,1,3,4,8,5,2,5,8,5,7,7,7,6,4,1,7,5,4
92,s055,55,4,0,2,-0.669,-0.371,0.896,1.717,0.152,1.753,-2.068,-2.508,2.966,-1.836,1.373,0.184,0.505,1.077,2.026,2.101,-1.873,107,54,53,40,30,32,37,45,4,48,22,25,28,18,93,1,2,1,1,11,11,11,2,11,11,8,11,9,11,10,11,11,11,11,11
93,s539,31,3,0,2,-0.298,0.214,-0.833,-1.399,0.659,-1.187,0.304,-1.416,-0.562,-2.649,-0.046,-1.824,2.381,-0.157,0.387,1.723,0.524,43,30,13,18,6,6,10,10,3,24,25,21,29,29,104,3,2,3,10,4,1,3,7,3,1,1,3,2,6,2,5,1,3,1,9
94,s013,52,3,1,4,2.120,0.026,0.449,1.119,-0.824,-0.620,0.787,1.045,0.027,0.179,-1.142,-1.091,-0.083,-0.386,0.628,0.302,0.793,66,42,24,21,35,9,4,26,5,34,25,20,27,21,93,1,1,1,1,2,5,6,1,1,11,6,9,7,11,6,1,1,1,3,5
95,s089,35,4,1,3,-0.165,-0.495,2.462,0.376,0.568,-1.124,-0.597,1.026,-1.038,-0.303,0.180,1.769,1.756,0.482,-0.311,-1.466,1.098,116,76,40,33,35,15,23,42,7,33,25,24,30,23,102,3,5,4,11,2,6,11,10,11,11,11,11,10,11,11,1,9,6,11,11
96,s313,26,4,1,2,-0.595,-0.354,1.841,0.277,-0.698,-0.199,-0.100,-0.428,-2.149,1.138,-2.122,-0.143,-1.470,-0.693,0.193,0.149,-3.979,67,32,35,21,5,5,9,32,1,15,25,20,30,25,100,1,1,1,6,11,6,6,1,6,6,6,6,6,6,1,6,1,6,6,8
97,s125,32,3,1,3,-0.788,-0.191,0.722,-0.130,-1.329,-1.265,1.965,1.774,-0.927,0.771,-0.654,1.011,0.038,-1.130,-1.377,-1.022,0.449,109,76,33,14,17,6,4,27,9,25,25,25,30,24,104,2,4,4,11,6,6,11,11,6,11,10,11,4,11,11,1,10,1,1,1
